iter	RMSE
0	31.79985465
1	24.83807532
2	21.64643872
3	20.50828683
4	19.85647731
5	19.36314871
6	19.02807244
7	18.87712748
8	18.75288047
9	18.53627342
10	18.33296209
11	18.2037401
12	18.11005869
13	18.00179773
14	17.94513397
15	17.87966843
16	17.75794799
17	17.63413764
18	17.59572245
19	17.51921686
20	17.45817199
21	17.406947
22	17.3423237
23	17.26241499
24	17.21858558
25	17.16274718
26	17.10254146
27	17.0463983
28	17.00914207
29	16.98184508
30	16.91914083
31	16.90166711
32	16.87028922
33	16.81730726
34	16.77937414
35	16.74300899
36	16.70457514
37	16.68455702
38	16.65696408
39	16.64161841
40	16.60497444
41	16.56450766
42	16.54273077
43	16.52360314
44	16.4794167
45	16.45635354
46	16.43575481
47	16.40312537
48	16.37308531
49	16.35059113
50	16.31905927
51	16.28874505
52	16.25934796
53	16.22917867
54	16.20607628
55	16.19651854
56	16.17635008
57	16.16199697
58	16.13075363
59	16.11446328
60	16.09108127
61	16.06972156
62	16.05254512
63	16.02599716
64	16.00579176
65	15.98779016
66	15.97118345
67	15.94140366
68	15.92331076
69	15.91468556
70	15.90315122
71	15.880907
72	15.86936675
73	15.85599433
74	15.84698618
75	15.83573041
76	15.82135897
77	15.80982575
78	15.79595454
79	15.77859713
80	15.76782158
81	15.74323771
82	15.73247216
83	15.7213994
84	15.70622992
85	15.69474404
86	15.67523879
87	15.66633083
88	15.64937299
89	15.63972716
90	15.63054787
91	15.6093854
92	15.59889339
93	15.58813577
94	15.57059597
95	15.53796364
96	15.51722768
97	15.50106495
98	15.49075214
99	15.47248253
