iter	Passed	Remaining
0	65	6477
1	68	3349
2	71	2307
3	74	1783
4	77	1464
5	80	1253
6	82	1097
7	85	983
8	87	888
9	90	815
10	93	753
11	95	700
12	98	657
13	100	618
14	103	584
15	105	553
16	107	526
17	110	502
18	112	480
19	115	461
20	117	443
21	120	427
22	122	411
23	125	397
24	128	384
25	130	370
26	133	360
27	136	350
28	138	339
29	141	329
30	144	320
31	146	311
32	149	303
33	151	294
34	154	287
35	156	279
36	159	271
37	161	264
38	164	256
39	167	250
40	169	243
41	172	237
42	174	231
43	176	225
44	179	219
45	182	214
46	185	209
47	187	203
48	190	198
49	193	193
50	196	188
51	198	183
52	201	178
53	204	174
54	207	169
55	209	164
56	212	159
57	214	155
58	216	150
59	219	146
60	222	142
61	224	137
62	227	133
63	229	129
64	232	125
65	235	121
66	237	117
67	240	113
68	242	109
69	245	105
70	247	101
71	250	97
72	252	93
73	254	89
74	257	85
75	259	81
76	262	78
77	264	74
78	267	71
79	269	67
80	272	63
81	275	60
82	278	56
83	280	53
84	283	49
85	285	46
86	288	43
87	290	39
88	293	36
89	296	32
90	298	29
91	301	26
92	303	22
93	306	19
94	309	16
95	311	12
96	314	9
97	316	6
98	319	3
99	322	0
